text,label,source
Officials proudly announce another three-hour delay on the morning commute.,1,hard_positive
The international terminal introduces new security screening equipment.,0,hard_negative
The stock market raises its economic growth forecast.,0,hard_negative
The education department approves funding for a new public hospital.,0,hard_negative
The city bus network remains closed after a landslide.,0,hard_negative
Residents welcome record rent increases across every major city.,1,hard_positive
Scientists are stunned to learn a transport project delayed for only the sixth time.,1,hard_positive
Government unveils a budget saving achieved by cutting the most popular program.,1,hard_positive
Government unveils another three-hour delay on the morning commute.,1,hard_positive
The environmental agency maps changes in the national coastline.,0,hard_negative
The city bus network closes overnight for safety inspections.,0,hard_negative
Residents welcome the discovery that water remains wet.,1,hard_positive
The environmental agency begins a study of coastal erosion.,0,hard_negative
The stock market records modest gains in early trading.,0,hard_negative
Astronomers publishes new climate monitoring data.,0,hard_negative
Retail sales reports a fall in annual inflation.,0,hard_negative
Consumer prices records modest gains in early trading.,0,hard_negative
Strong winds delays flights at major airports.,0,hard_negative
Dense fog forces schools and offices to close.,0,hard_negative
The finance ministry falls to its lowest level in two years.,0,hard_negative
Commuters are thrilled by another software update that breaks the login page.,1,hard_positive
The medical regulator extend opening hours during winter.,0,hard_negative
A bushfire prompts emergency warnings for residents.,0,hard_negative
The national space agency publishes new climate monitoring data.,0,hard_negative
The health department releases findings from a five-year study.,0,hard_negative
The government publishes updated electricity market rules.,0,hard_negative
Researchers launches a new weather observation satellite.,0,hard_negative
Astronomers discovers evidence of water beneath the surface.,0,hard_negative
NASA maps changes in the national coastline.,0,hard_negative
The stock market remain steady during the holiday period.,0,hard_negative
The medical regulator begin using a new patient booking system.,0,hard_negative
A heatwave leads authorities to open evacuation centres.,0,hard_negative
A university team launches a new weather observation satellite.,0,hard_negative
Retail sales releases the annual budget update.,0,hard_negative
A research institute extend opening hours during winter.,0,hard_negative
The new metro station receives funding for capacity upgrades.,0,hard_negative
The national statistics office remain steady during the holiday period.,0,hard_negative
Public hospitals report an increase in seasonal flu cases.,0,hard_negative
The national university resume classes after the summer break.,0,hard_negative
The coastal road returns to its regular timetable.,0,hard_negative
A bushfire moves toward the coast overnight.,0,hard_negative
Drivers celebrate a transport project delayed for only the sixth time.,1,hard_positive
A university team announces a trial of renewable energy storage.,0,hard_negative
Coastal flooding forces schools and offices to close.,0,hard_negative
The harbour bridge remains closed after a landslide.,0,hard_negative
Residents welcome a public consultation held after the decision was already made.,1,hard_positive
The finance ministry remain steady during the holiday period.,0,hard_negative
Workers rejoice as a transport project delayed for only the sixth time.,1,hard_positive
Community clinics respond to hundreds of calls after the storm.,0,hard_negative
A cold front disrupts transport services in the region.,0,hard_negative
The public health agency resume classes after the summer break.,0,hard_negative
Government unveils a transport project delayed for only the sixth time.,1,hard_positive
Local schools receives funding for cancer research.,0,hard_negative
The energy market operator forecast higher electricity demand during the heatwave.,0,hard_negative
